Scramble Length/Seed,States Checked,Sequence
0,"[1, 3, 5, 9, 15, 2000, 10, 1216, 2000, 2000, 10, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]","             ['4' '4' '4']
             ['4' '4' '4']
             ['4' '4' '4']
['3' '3' '3']['0' '0' '0']['2' '2' '2']['1' '1' '1']
['3' '3' '3']['0' '0' '0']['2' '2' '2']['1' '1' '1']
['3' '3' '3']['0' '0' '0']['2' '2' '2']['1' '1' '1']
             ['5' '5' '5']
             ['5' '5' '5']
             ['5' '5' '5']
"
1,"[1, 3, 5, 9, 15, 2000, 10, 1216, 2000, 2000, 10, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]","             ['4' '4' '4']
             ['4' '4' '4']
             ['4' '4' '4']
['0' '0' '0']['2' '2' '2']['1' '1' '1']['3' '3' '3']
['3' '3' '3']['0' '0' '0']['2' '2' '2']['1' '1' '1']
['3' '3' '3']['0' '0' '0']['2' '2' '2']['1' '1' '1']
             ['5' '5' '5']
             ['5' '5' '5']
             ['5' '5' '5']
             ['4' '4' '4']
             ['4' '4' '4']
             ['4' '4' '4']
['3' '3' '3']['0' '0' '0']['2' '2' '2']['1' '1' '1']
['3' '3' '3']['0' '0' '0']['2' '2' '2']['1' '1' '1']
['3' '3' '3']['0' '0' '0']['2' '2' '2']['1' '1' '1']
             ['5' '5' '5']
             ['5' '5' '5']
             ['5' '5' '5']
"
2,"[1, 3, 5, 9, 15, 2000, 10, 1216, 2000, 2000, 10, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]","             ['2' '2' '0']
             ['4' '4' '0']
             ['4' '4' '0']
['4' '3' '3']['0' '0' '5']['2' '2' '2']['2' '1' '1']
['4' '3' '3']['0' '0' '5']['2' '2' '2']['4' '1' '1']
['4' '3' '3']['0' '0' '3']['5' '5' '5']['4' '1' '1']
             ['5' '5' '1']
             ['5' '5' '1']
             ['3' '3' '1']
             ['2' '2' '2']
             ['4' '4' '4']
             ['4' '4' '4']
['4' '3' '3']['0' '0' '0']['2' '2' '5']['1' '1' '1']
['4' '3' '3']['0' '0' '0']['2' '2' '5']['1' '1' '1']
['4' '3' '3']['0' '0' '0']['2' '2' '5']['1' '1' '1']
             ['5' '5' '5']
             ['5' '5' '5']
             ['3' '3' '3']
             ['4' '4' '4']
             ['4' '4' '4']
             ['4' '4' '4']
['3' '3' '3']['0' '0' '0']['2' '2' '2']['1' '1' '1']
['3' '3' '3']['0' '0' '0']['2' '2' '2']['1' '1' '1']
['3' '3' '3']['0' '0' '0']['2' '2' '2']['1' '1' '1']
             ['5' '5' '5']
             ['5' '5' '5']
             ['5' '5' '5']
"
3,"[1, 3, 5, 9, 15, 2000, 10, 1216, 2000, 2000, 10, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]","             ['4' '4' '3']
             ['4' '4' '3']
             ['4' '4' '3']
['0' '0' '0']['2' '2' '4']['1' '1' '1']['5' '3' '3']
['5' '3' '3']['0' '0' '0']['2' '2' '4']['1' '1' '1']
['2' '2' '4']['1' '1' '1']['5' '3' '3']['0' '0' '0']
             ['2' '2' '2']
             ['5' '5' '5']
             ['5' '5' '5']
             ['3' '3' '3']
             ['4' '4' '4']
             ['4' '4' '4']
['5' '3' '3']['0' '0' '0']['2' '2' '4']['1' '1' '1']
['5' '3' '3']['0' '0' '0']['2' '2' '4']['1' '1' '1']
['2' '2' '4']['1' '1' '1']['5' '3' '3']['0' '0' '0']
             ['2' '2' '2']
             ['5' '5' '5']
             ['5' '5' '5']
             ['3' '3' '3']
             ['4' '4' '4']
             ['4' '4' '4']
['5' '3' '3']['0' '0' '0']['2' '2' '4']['1' '1' '1']
['5' '3' '3']['0' '0' '0']['2' '2' '4']['1' '1' '1']
['5' '3' '3']['0' '0' '0']['2' '2' '4']['1' '1' '1']
             ['5' '5' '5']
             ['5' '5' '5']
             ['2' '2' '2']
             ['4' '4' '4']
             ['4' '4' '4']
             ['4' '4' '4']
['3' '3' '3']['0' '0' '0']['2' '2' '2']['1' '1' '1']
['3' '3' '3']['0' '0' '0']['2' '2' '2']['1' '1' '1']
['3' '3' '3']['0' '0' '0']['2' '2' '2']['1' '1' '1']
             ['5' '5' '5']
             ['5' '5' '5']
             ['5' '5' '5']
"
4,"[1, 3, 5, 9, 15, 2000, 10, 1216, 2000, 2000, 10, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]","             ['3' '3' '3']
             ['4' '4' '4']
             ['5' '5' '5']
['5' '3' '2']['0' '0' '0']['3' '2' '4']['1' '1' '1']
['5' '3' '2']['0' '0' '0']['3' '2' '4']['1' '1' '1']
['5' '3' '2']['0' '0' '0']['3' '2' '4']['1' '1' '1']
             ['4' '4' '4']
             ['5' '5' '5']
             ['2' '2' '2']
             ['4' '4' '4']
             ['4' '4' '4']
             ['5' '5' '5']
['3' '3' '2']['0' '0' '0']['3' '2' '2']['1' '1' '1']
['3' '3' '2']['0' '0' '0']['3' '2' '2']['1' '1' '1']
['3' '3' '2']['0' '0' '0']['3' '2' '2']['1' '1' '1']
             ['4' '4' '4']
             ['5' '5' '5']
             ['5' '5' '5']
             ['4' '4' '4']
             ['4' '4' '4']
             ['4' '4' '4']
['3' '3' '3']['0' '0' '0']['2' '2' '2']['1' '1' '1']
['3' '3' '3']['0' '0' '0']['2' '2' '2']['1' '1' '1']
['3' '3' '3']['0' '0' '0']['2' '2' '2']['1' '1' '1']
             ['5' '5' '5']
             ['5' '5' '5']
             ['5' '5' '5']
"
5,"[1, 3, 5, 9, 15, 2000, 10, 1216, 2000, 2000, 10, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",Failed
6,"[1, 3, 5, 9, 15, 2000, 10, 1216, 2000, 2000, 10, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]","             ['3' '5' '2']
             ['3' '4' '2']
             ['3' '4' '2']
['1' '1' '1']['5' '2' '4']['1' '1' '1']['5' '3' '4']
['4' '3' '5']['0' '0' '0']['4' '2' '5']['1' '1' '1']
['4' '3' '5']['0' '0' '0']['4' '2' '5']['0' '0' '0']
             ['2' '2' '2']
             ['4' '5' '5']
             ['3' '3' '3']
             ['2' '2' '2']
             ['5' '4' '4']
             ['3' '3' '3']
['5' '3' '4']['1' '1' '1']['5' '2' '4']['1' '1' '1']
['4' '3' '5']['0' '0' '0']['4' '2' '5']['1' '1' '1']
['4' '3' '5']['0' '0' '0']['4' '2' '5']['0' '0' '0']
             ['2' '2' '2']
             ['4' '5' '5']
             ['3' '3' '3']
             ['2' '2' '2']
             ['5' '4' '4']
             ['5' '4' '4']
['5' '3' '3']['1' '0' '0']['2' '2' '4']['1' '1' '1']
['4' '3' '3']['1' '0' '0']['2' '2' '5']['1' '1' '1']
['4' '3' '3']['1' '0' '0']['2' '2' '5']['0' '0' '0']
             ['4' '5' '5']
             ['4' '5' '5']
             ['3' '3' '3']
             ['5' '4' '4']
             ['5' '4' '4']
             ['5' '4' '4']
['3' '3' '3']['1' '0' '0']['2' '2' '2']['1' '1' '0']
['3' '3' '3']['1' '0' '0']['2' '2' '2']['1' '1' '0']
['3' '3' '3']['1' '0' '0']['2' '2' '2']['1' '1' '0']
             ['4' '5' '5']
             ['4' '5' '5']
             ['4' '5' '5']
             ['4' '4' '4']
             ['4' '4' '4']
             ['4' '4' '4']
['3' '3' '3']['0' '0' '0']['2' '2' '2']['1' '1' '1']
['3' '3' '3']['0' '0' '0']['2' '2' '2']['1' '1' '1']
['3' '3' '3']['0' '0' '0']['2' '2' '2']['1' '1' '1']
             ['5' '5' '5']
             ['5' '5' '5']
             ['5' '5' '5']
"
7,"[1, 3, 5, 9, 15, 2000, 10, 1216, 2000, 2000, 10, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]","             ['1' '2' '0']
             ['1' '4' '0']
             ['3' '5' '0']
['5' '4' '4']['2' '0' '4']['3' '3' '3']['2' '1' '1']
['5' '3' '3']['4' '0' '5']['2' '2' '2']['4' '1' '1']
['5' '2' '2']['5' '1' '1']['4' '3' '2']['0' '0' '1']
             ['0' '3' '3']
             ['0' '5' '5']
             ['5' '4' '4']
             ['2' '2' '0']
             ['4' '4' '0']
             ['5' '5' '0']
['4' '3' '2']['0' '0' '4']['3' '3' '3']['2' '1' '1']
['4' '3' '2']['0' '0' '5']['2' '2' '2']['4' '1' '1']
['5' '5' '5']['5' '1' '1']['4' '3' '2']['0' '0' '3']
             ['1' '3' '3']
             ['1' '5' '5']
             ['1' '4' '4']
             ['2' '2' '0']
             ['4' '4' '0']
             ['5' '5' '0']
['4' '3' '2']['0' '0' '4']['3' '3' '3']['2' '1' '1']
['4' '3' '2']['0' '0' '5']['2' '2' '2']['4' '1' '1']
['4' '3' '2']['0' '0' '3']['5' '5' '5']['5' '1' '1']
             ['4' '4' '1']
             ['5' '5' '1']
             ['3' '3' '1']
             ['2' '2' '2']
             ['4' '4' '4']
             ['5' '5' '5']
['4' '3' '2']['0' '0' '0']['3' '2' '5']['1' '1' '1']
['4' '3' '2']['0' '0' '0']['3' '2' '5']['1' '1' '1']
['4' '3' '2']['0' '0' '0']['3' '2' '5']['1' '1' '1']
             ['4' '4' '4']
             ['5' '5' '5']
             ['3' '3' '3']
             ['4' '4' '4']
             ['4' '4' '4']
             ['5' '5' '5']
['3' '3' '2']['0' '0' '0']['3' '2' '2']['1' '1' '1']
['3' '3' '2']['0' '0' '0']['3' '2' '2']['1' '1' '1']
['3' '3' '2']['0' '0' '0']['3' '2' '2']['1' '1' '1']
             ['4' '4' '4']
             ['5' '5' '5']
             ['5' '5' '5']
             ['4' '4' '4']
             ['4' '4' '4']
             ['4' '4' '4']
['3' '3' '3']['0' '0' '0']['2' '2' '2']['1' '1' '1']
['3' '3' '3']['0' '0' '0']['2' '2' '2']['1' '1' '1']
['3' '3' '3']['0' '0' '0']['2' '2' '2']['1' '1' '1']
             ['5' '5' '5']
             ['5' '5' '5']
             ['5' '5' '5']
"
8,"[1, 3, 5, 9, 15, 2000, 10, 1216, 2000, 2000, 10, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",Failed
9,"[1, 3, 5, 9, 15, 2000, 10, 1216, 2000, 2000, 10, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",Failed
10,"[1, 3, 5, 9, 15, 2000, 10, 1216, 2000, 2000, 10, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]","             ['2' '2' '2']
             ['4' '4' '0']
             ['4' '4' '0']
['3' '3' '3']['0' '0' '5']['2' '2' '1']['4' '4' '3']
['3' '3' '3']['0' '0' '5']['2' '2' '1']['4' '1' '1']
['0' '1' '1']['5' '3' '3']['0' '0' '1']['4' '1' '1']
             ['2' '5' '5']
             ['2' '5' '5']
             ['5' '5' '4']
             ['3' '3' '0']
             ['4' '4' '0']
             ['4' '4' '0']
['5' '3' '3']['0' '0' '5']['2' '2' '2']['3' '1' '1']
['5' '3' '3']['0' '0' '5']['2' '2' '2']['4' '1' '1']
['4' '1' '1']['5' '3' '3']['0' '0' '2']['4' '4' '4']
             ['2' '5' '5']
             ['2' '5' '5']
             ['1' '1' '1']
             ['3' '3' '0']
             ['4' '4' '0']
             ['4' '4' '0']
['5' '3' '3']['0' '0' '5']['2' '2' '2']['3' '1' '1']
['5' '3' '3']['0' '0' '5']['2' '2' '2']['4' '1' '1']
['5' '3' '3']['0' '0' '2']['4' '4' '4']['4' '1' '1']
             ['5' '5' '1']
             ['5' '5' '1']
             ['2' '2' '1']
             ['3' '3' '3']
             ['4' '4' '4']
             ['4' '4' '4']
['5' '3' '3']['0' '0' '0']['2' '2' '4']['1' '1' '1']
['5' '3' '3']['0' '0' '0']['2' '2' '4']['1' '1' '1']
['5' '3' '3']['0' '0' '0']['2' '2' '4']['1' '1' '1']
             ['5' '5' '5']
             ['5' '5' '5']
             ['2' '2' '2']
             ['4' '4' '4']
             ['4' '4' '4']
             ['4' '4' '4']
['3' '3' '3']['0' '0' '0']['2' '2' '2']['1' '1' '1']
['3' '3' '3']['0' '0' '0']['2' '2' '2']['1' '1' '1']
['3' '3' '3']['0' '0' '0']['2' '2' '2']['1' '1' '1']
             ['5' '5' '5']
             ['5' '5' '5']
             ['5' '5' '5']
"
11,"[1, 3, 5, 9, 15, 2000, 10, 1216, 2000, 2000, 10, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",Failed
12,"[1, 3, 5, 9, 15, 2000, 10, 1216, 2000, 2000, 10, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",Failed
13,"[1, 3, 5, 9, 15, 2000, 10, 1216, 2000, 2000, 10, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",Failed
14,"[1, 3, 5, 9, 15, 2000, 10, 1216, 2000, 2000, 10, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",Failed
15,"[1, 3, 5, 9, 15, 2000, 10, 1216, 2000, 2000, 10, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",Failed
16,"[1, 3, 5, 9, 15, 2000, 10, 1216, 2000, 2000, 10, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",Failed
17,"[1, 3, 5, 9, 15, 2000, 10, 1216, 2000, 2000, 10, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",Failed
18,"[1, 3, 5, 9, 15, 2000, 10, 1216, 2000, 2000, 10, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",Failed
19,"[1, 3, 5, 9, 15, 2000, 10, 1216, 2000, 2000, 10, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",Failed
